                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.336,                 1.3213,                0.90161,                0.60081,                0.43044,                0.47016,                0.27159,                 1.5088,                   1.65,                0.86727,             0.00013864,             0.00013864,             0.00013864
                     36,                 1.3624,                 1.3376,                0.89386,                0.66332,                0.43421,                0.48465,                0.27889,                 1.5274,                 1.6401,                0.86735,             0.00013072,             0.00013072,             0.00013072
                     37,                 1.3347,                 1.3161,                0.89757,                0.63919,                0.44565,                0.48578,                  0.275,                 1.5325,                 1.6513,                0.86532,              0.0001228,              0.0001228,              0.0001228
                     38,                 1.3379,                 1.2692,                0.89733,                0.65087,                0.44093,                0.46543,                0.27663,                 1.4863,                 1.6534,                0.86516,             0.00011488,             0.00011488,             0.00011488
                     39,                  1.304,                  1.293,                0.89863,                0.68856,                0.41587,                0.46248,                0.27326,                 1.4853,                 1.6151,                0.86611,             0.00010696,             0.00010696,             0.00010696
                     40,                 1.2836,                 1.2221,                 0.8948,                0.65647,                 0.4314,                0.49317,                0.29179,                  1.491,                 1.5515,                0.86379,              9.904e-05,              9.904e-05,              9.904e-05
                     41,                 1.2571,                  1.222,                 0.8931,                0.60203,                0.44487,                0.49756,                0.29299,                 1.4957,                 1.6137,                0.86448,              9.112e-05,              9.112e-05,              9.112e-05
                     42,                 1.3083,                 1.2874,                0.90399,                  0.726,                0.43954,                0.48821,                  0.283,                 1.4931,                 1.6546,                0.86483,               8.32e-05,               8.32e-05,               8.32e-05
                     43,                 1.2957,                 1.2438,                0.89727,                 0.7127,                0.44986,                0.48546,                0.28476,                 1.5002,                 1.6228,                0.86709,              7.528e-05,              7.528e-05,              7.528e-05
                     44,                 1.2402,                 1.1737,                0.89594,                0.71893,                   0.45,                0.49458,                0.28653,                 1.5031,                 1.5766,                 0.8685,              6.736e-05,              6.736e-05,              6.736e-05
                     45,                 1.2517,                 1.1833,                0.89548,                0.69817,                0.44185,                0.50683,                0.30212,                 1.4887,                 1.5693,                0.86385,              5.944e-05,              5.944e-05,              5.944e-05
                     46,                 1.2555,                 1.1832,                0.89401,                 0.6753,                 0.4406,                0.50071,                0.30094,                 1.4836,                 1.5822,                0.86419,              5.152e-05,              5.152e-05,              5.152e-05
                     47,                 1.2517,                 1.1715,                0.89345,                0.69039,                0.44669,                0.50335,                0.29733,                 1.4867,                 1.5689,                0.86513,               4.36e-05,               4.36e-05,               4.36e-05
                     48,                 1.2315,                 1.1733,                0.88772,                0.69464,                0.44211,                0.50243,                 0.2964,                 1.4829,                 1.5563,                0.86403,              3.568e-05,              3.568e-05,              3.568e-05
                     49,                 1.2369,                 1.1524,                0.89751,                0.69876,                0.44452,                0.49828,                0.29355,                 1.4753,                 1.5473,                0.86255,              2.776e-05,              2.776e-05,              2.776e-05
                     50,                 1.2392,                 1.1599,                0.88925,                0.70207,                0.45271,                0.50051,                0.29369,                 1.4734,                  1.547,                0.86228,              1.984e-05,              1.984e-05,              1.984e-05
